userId,movieId,rating,timestamp
1,110,1.0,1425941529
1,147,4.5,1425942435
1,858,5.0,1425941523
1,1246,5.0,1425941556
1,1968,4.0,1425942148
1,2762,4.5,1425941300
1,2959,4.0,1425941601
1,4226,4.0,1425942228
1,54503,3.5,1425941313
1,58559,4.0,1425942007
1,96821,5.0,1425941382
2,5,3.0,867039249
2,25,3.0,867039168
2,58,3.0,867039325
2,64,4.0,867039612
2,79,4.0,867039325
2,141,3.0,867039168
2,260,4.0,867039249
2,339,5.0,867041296
2,377,4.0,867041121
2,605,4.0,867039973
2,628,4.0,867039325
2,648,4.0,867039167
2,762,3.0,867039325
2,780,3.0,867039165
2,786,1.0,867039249
2,788,1.0,867039288
2,1552,2.0,867040735
3,480,3.0,1048076925
3,500,2.0,1048076945
3,527,4.0,1048076900
3,858,4.0,1048076945
3,1092,3.0,1048076995
3,1968,3.0,1048077048
3,3101,3.0,1048076830
3,4474,3.0,1048077030
4,223,4.0,1042668576
4,415,4.0,1042667925
4,648,4.0,1042674800
4,1422,4.0,1042674861
4,1597,3.0,1042674787
4,1644,3.0,1042674845
4,1645,4.0,1042674787
4,1732,3.0,1042674761
4,1909,4.0,1042674761
4,1911,4.0,1042668589
4,2023,5.0,1042667945
4,2355,4.0,1042668559
4,2692,4.0,1042672531
4,2694,1.0,1042668544
4,2762,5.0,1042672546
4,2805,3.0,1042672352
4,3004,1.0,1042668521
4,3114,5.0,1042672580
4,3160,4.0,1042672335
4,3476,4.0,1042674436
4,3578,4.0,1042672283
4,4226,3.0,1042674412
4,4896,4.0,1042667845
5,157,2.0,949423787
5,296,4.0,949424343
5,541,5.0,949424321
5,750,5.0,949424271
5,858,5.0,949424168
5,1254,5.0,949424374
5,1945,5.0,949424321
5,2163,2.0,949424522
5,3079,5.0,949423938
5,3114,4.0,949423938
6,11,3.0,944894480
6,2565,4.0,944894144
7,293,5.0,1486253647
7,318,4.0,1486253595
7,2959,4.5,1486253602
7,4896,4.5,1486253687
7,4993,5.0,1486253608
7,5618,4.0,1486253703
7,5816,4.5,1486253705
7,6934,2.0,1486253729
7,8368,4.0,1486253719
7,8961,2.5,1486253617
7,30793,2.5,1486253796
7,39183,3.0,1486253891
7,40815,2.5,1486253738
7,41566,2.0,1486253798
7,54001,3.0,1486253787
7,54272,4.0,1486253880
7,54503,3.5,1486253805
7,58559,5.0,1486253675
7,68954,3.0,1486253695
7,88744,1.5,1486253974
8,170,3.0,1013442544
8,318,5.0,1013444101
8,553,4.0,1013442902
8,585,2.0,1013443939
8,647,4.0,1013442921
8,653,4.0,1013444101
8,784,2.0,1013443487
8,832,2.0,1013443752
8,912,4.0,1013442544
8,968,4.0,1013444101
8,1265,3.0,1013442825
8,1266,5.0,1013443659
8,1404,1.0,1013443848
8,1405,4.0,1013443698
8,1499,3.0,1013443867
8,1591,4.0,1013443848
8,1626,3.0,1013443939
8,1653,2.0,1013442853
8,1792,1.0,1013444101
8,1837,1.0,1013443596
8,1882,2.0,1013444013
8,1965,3.0,1013443867
8,1968,3.0,1013442518
8,2019,5.0,1013443447
8,2022,3.0,1013444158
8,2110,2.0,1013443544
8,2193,2.0,1013442936
8,2300,2.0,1013443698
8,2313,3.0,1013442804
8,2334,3.0,1013443923
8,2469,3.0,1013442463
8,2762,2.0,1013442774
8,3016,3.0,1013443770
8,3036,3.0,1013443380
8,3082,3.0,1013443597
8,3107,2.0,1013443529
8,3146,3.0,1013443659
8,3175,5.0,1013443796
8,3527,5.0,1013442902
8,4291,2.0,1013443796
8,4443,4.0,1013443447
8,4638,3.0,1013443070
8,4643,2.0,1013442976
8,4787,2.0,1013442518
8,4896,4.0,1013442518
8,4954,3.0,1013443013
8,4956,4.0,1013442758
8,4979,4.0,1013442677
8,4993,4.0,1013442629
8,5002,2.0,1013443013
8,5064,3.0,1013442629
8,5125,2.0,1013442758
9,150,4.0,1073837284
9,342,5.0,1061916357
9,497,4.0,1061916288
9,594,3.0,1061916233
9,750,4.0,1061916274
9,1059,5.0,1061918479
9,1246,4.5,1073837162
9,1262,4.0,1073837244
9,1391,2.5,1061916303
9,1653,4.5,1061916352
9,1676,0.5,1061916373
9,1682,4.5,1061916342
9,2321,4.0,1073837327
9,2324,5.0,1061916334
9,2355,4.5,1061916245
9,2395,4.5,1073837036
9,2640,2.0,1061916416
9,2762,4.0,1073837125
9,3114,4.5,1073837131
9,4226,4.0,1061916957
9,4886,4.0,1061917025
9,4896,3.5,1061917348
9,4973,5.0,1061916953
9,4979,4.5,1062237903
9,4993,5.0,1061916981
9,5816,3.5,1061917353
9,5902,3.5,1061917084
9,5991,4.5,1061917119
10,150,4.0,846287850
10,153,3.0,846288047
10,165,4.0,846288047
10,296,5.0,846287850
10,344,4.0,846288047
10,349,5.0,846288047
10,380,5.0,846287850
10,457,4.0,846288177
10,588,5.0,846288047
10,590,3.0,846287850
10,592,4.0,846287850
10,593,4.0,846288177
10,595,5.0,846288177
11,110,3.5,1231676989
11,165,3.5,1231677046
11,231,2.5,1231677076
11,260,3.0,1231676984
11,296,4.0,1231676885
11,318,4.5,1231678204
11,344,3.0,1231677016
11,364,3.0,1231677051
11,457,3.5,1231676994
11,480,3.5,1231676849
11,500,4.0,1231677066
11,527,4.5,1231677900
11,593,4.0,1231676857
11,750,3.0,1231677212
11,784,2.0,1231677333
11,1073,4.0,1231677094
11,1089,3.5,1231677184
11,1127,3.5,1231677287
11,1265,2.5,1231677102
11,1370,3.5,1231677340
11,1573,3.5,1231677261
